Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
AA180,AduAA108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA181,AduAA109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA182,AduAA110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA183,AduAA111,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA184,AduAA112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA185,AduAA113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA188,AduAA114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA189,AduAA115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA179,AduAA116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA193,AduAA117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AA339,AduAA118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA340,AduAA119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA341,AduAA120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA342,AduAA121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA575,AduAA122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA576,AduAA123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA577,AduAA124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
AA578,AduAA125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA579,AduAA126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA580,AduAA127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA581,AduAA128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA609,AduAA129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA612,AduAA130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA613,AduAA131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA614,AduAA132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA615,AduAA133,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA616,AduAA134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA617,AduAA135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA918,AduAA136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA919,AduAA137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA933,AduAA138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA934,AduAA139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA935,AduAA140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA936,AduAA141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA937,AduAA142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA938,AduAA143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA939,AduAA144,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AA940,AduAA145,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA941,AduAA146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA942,AduAA147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA932,AduAA148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA943,AduAA149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1155,AduAA150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1156,AduAA151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1167,AduAA152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1168,AduAA153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1170,AduAA154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1171,AduAA155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1172,AduAA156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA1173,AduAA157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AA1174,AduAA158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1157,AduAA159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1158,AduAA160,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1159,AduAA161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1160,AduAA162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1161,AduAA163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1162,AduAA164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
